hash_fn,nodes_count,execution_time,speedup,efficiency
SHA-256,1,730,1,100
SHA-256,2,373,1.957104558,97.85522788
SHA-256,3,246,2.967479675,98.91598916
SHA-256,4,185,3.945945946,98.64864865
SHA-256,5,147,4.965986395,99.31972789
SHA-256,6,123,5.93495935,98.91598916
SHA-256,7,106,6.886792453,98.38274933
SHA-256,8,92,7.934782609,99.18478261
SHA-256,9,81,9.012345679,100.1371742
SHA-256,10,74,9.864864865,98.64864865
SHA-256,11,66,11.06060606,100.5509642
SHA-256,12,62,11.77419355,98.11827957
SHA-256,13,57,12.80701754,98.51551957
SHA-256,14,52,14.03846154,100.2747253
SHA-256,15,49,14.89795918,99.31972789
SHA-512,1,1119,1,100
SHA-512,2,557,2.008976661,100.448833
SHA-512,3,377,2.968169761,98.93899204
SHA-512,4,282,3.968085106,99.20212766
SHA-512,5,223,5.01793722,100.3587444
SHA-512,6,188,5.95212766,99.20212766
SHA-512,7,159,7.037735849,100.5390836
SHA-512,8,139,8.050359712,100.6294964
SHA-512,9,124,9.024193548,100.2688172
SHA-512,10,111,10.08108108,100.8108108
SHA-512,11,101,11.07920792,100.720072
SHA-512,12,93,12.03225806,100.2688172
SHA-512,13,87,12.86206897,98.93899204
SHA-512,14,80,13.9875,99.91071429
SHA-512,15,75,14.92,99.46666667
MD5,1,704,1,100
MD5,2,355,1.983098592,99.15492958
MD5,3,247,2.850202429,95.00674764
MD5,4,182,3.868131868,96.7032967
MD5,5,143,4.923076923,98.46153846
MD5,6,118,5.966101695,99.43502825
MD5,7,103,6.834951456,97.64216366
MD5,8,89,7.91011236,98.87640449
MD5,9,81,8.691358025,96.57064472
MD5,10,71,9.915492958,99.15492958
MD5,11,65,10.83076923,98.46153846
MD5,12,60,11.73333333,97.77777778
MD5,13,55,12.8,98.46153846
MD5,14,51,13.80392157,98.59943978
MD5,15,48,14.66666667,97.77777778
NTLM,1,722,1,100
NTLM,2,366,1.972677596,98.63387978
NTLM,3,242,2.983471074,99.44903581
NTLM,4,182,3.967032967,99.17582418
NTLM,5,145,4.979310345,99.5862069
NTLM,6,120,6.016666667,100.2777778
NTLM,7,102,7.078431373,101.1204482
NTLM,8,89,8.112359551,101.4044944
NTLM,9,80,9.025,100.2777778
NTLM,10,73,9.890410959,98.90410959
NTLM,11,65,11.10769231,100.979021
NTLM,12,59,12.23728814,101.9774011
NTLM,13,55,13.12727273,100.979021
NTLM,14,51,14.15686275,101.1204482
NTLM,15,48,15.04166667,100.2777778
